Sub  Trial   Group    Task  Block  Errors      Stimuli      ManEst        RT   G12ManEst FGApApproved
  3     27 GPME-SL  ManEst      1       0          D1B       60.52    315.00       40.97            1
  3     28 GPME-SL  ManEst      1       0          D2A       52.07    250.00       32.51            1
  3     29 GPME-SL  ManEst      1       0          D2B       60.38    210.00       40.82            1
  3     30 GPME-SL  ManEst      1       0          D1B       56.78    225.00       37.22            1
  3     31 GPME-SL  ManEst      1       0          D1B       66.76    215.00       47.20            1
  3     32 GPME-SL  ManEst      1       0          D1A       60.37    225.00       40.81            1
  3     33 GPME-SL  ManEst      2       0          D1B       67.35    285.00       47.29            1
  3     34 GPME-SL  ManEst      2       0          D2A       65.52    300.00       45.45            1
  3     35 GPME-SL  ManEst      2       0          D1B       57.96    230.00       37.89            1
  3     36 GPME-SL  ManEst      2       0          D2B       58.00    230.00       37.94            1
  3     37 GPME-SL  ManEst      2       0          D1B       55.17    225.00       35.11            1
  3     38 GPME-SL  ManEst      2       0          D1B       55.74    315.00       35.67            1
  3     39 GPME-SL  ManEst      2       0          D2B       55.44    215.00       35.37            1
  3     40 GPME-SL  ManEst      2       0          D1A       57.87    235.00       37.81            1
  3     41 GPME-SL  ManEst      2       0          D1B       56.80    270.00       36.73            1
  3     42 GPME-SL  ManEst      2       0          D1A       57.19    210.00       37.13            1
  3     43 GPME-SL  ManEst      2       0          D2B       60.88    355.00       40.82            1
  3     44 GPME-SL  ManEst      2       0          D2A       59.48    225.00       39.42            1
  3     45 GPME-SL  ManEst      2       0          D1B       56.66    260.00       36.60            1
  3     46 GPME-SL  ManEst      2       0          D2B       61.17    300.00       41.11            1
  3     47 GPME-SL  ManEst      2       0          D1A       54.52    270.00       34.46            1
  3     48 GPME-SL  ManEst      2       2          D2A       59.31    290.00       39.25            1
  3     49 GPME-SL  ManEst      2       4          D1A       53.72    205.00       33.66            1
  3     50 GPME-SL  ManEst      2       4          D2B       62.13    315.00       42.07            1
  3     51 GPME-SL  ManEst      2       4          D2A       62.07    235.00       42.00            1
  3     52 GPME-SL  ManEst      2       4          D2A       66.45    255.00       46.39            1
  3     53 GPME-SL  ManEst      2       4          D2A       60.23    255.00       40.17            1
  3     54 GPME-SL  ManEst      2       4          D2B       54.78    230.00       34.72            1
  3     55 GPME-SL  ManEst      2       4          D1A       59.13    245.00       39.07            1
  3     56 GPME-SL  ManEst      2       4          D1A       60.44    290.00       40.38            1
  3     57 GPME-SL  ManEst      2       4          D2B       67.96    305.00       47.90            1
  3     58 GPME-SL  ManEst      2       4          D2A       66.81    185.00       46.75            1
  3     59 GPME-SL  ManEst      2       4          D1A       58.63    245.00       38.56            1
