Sub  Trial   Group    Task  Block  Errors      Stimuli      ManEst        RT   G12ManEst FGApApproved
  2    112 MGPE-SL  ManEst      4      13          D1A       52.93        962.11    330.00       35.23            1
  2    113 MGPE-SL  ManEst      4      13          D1B       52.27       1124.39    305.00       34.58            1
  2    114 MGPE-SL  ManEst      4      14          D2A       43.51        786.58    255.00       25.81            1
  2    115 MGPE-SL  ManEst      4      14          D1B       50.49        801.67    320.00       32.79            1
  2    116 MGPE-SL  ManEst      4      14          D1B       48.27        950.61    410.00       30.57            1
  2    117 MGPE-SL  ManEst      4      14          D1A       47.42        900.59    345.00       29.72            1
  2    118 MGPE-SL  ManEst      4      14          D2B       56.51        963.55    365.00       38.81            1
  2    119 MGPE-SL  ManEst      4      14          D1B       56.07        904.57    395.00       38.38            1
  2    120 MGPE-SL  ManEst      4      14          D2B       56.47        960.52    380.00       38.77            1
  2    121 MGPE-SL  ManEst      4      15          D1B       54.81        889.57    355.00       37.11            1
  2    122 MGPE-SL  ManEst      4      15          D2A       49.53        942.79    300.00       31.84            1
  2    123 MGPE-SL  ManEst      4      15          D2B       60.21        959.54    350.00       42.51            1
  2    124 MGPE-SL  ManEst      4      15          D1A       56.55       1028.48    475.00       38.85            1
  2    125 MGPE-SL  ManEst      4      15          D2B       64.63        979.60    335.00       46.93            1
  2    126 MGPE-SL  ManEst      4      15          D1A       56.73       1049.38    540.00       39.03            1
  2    127 MGPE-SL  ManEst      4      15          D1A       49.54        971.56    355.00       31.84            1
  2    128 MGPE-SL  ManEst      4      15          D1B       52.58       1206.35    620.00       34.88            1
  3      1 GPME-SL  ManEst      1       0          D1B       55.74        947.59    350.00       36.18            1
  3      2 GPME-SL  ManEst      1       0          D2B       55.21        936.62    250.00       35.65            1
  3      3 GPME-SL  ManEst      1       0          D2A       54.60        868.58    220.00       35.04            1
  3      4 GPME-SL  ManEst      1       0          D2A       60.51        778.66    285.00       40.95            1
  3      5 GPME-SL  ManEst      1       0          D2B       54.65        762.66    220.00       35.09            1
  3      6 GPME-SL  ManEst      1       0          D2B       57.85        815.48    305.00       38.30            1
  3      7 GPME-SL  ManEst      1       0          D1A       49.74        816.65    250.00       30.18            1
  3      8 GPME-SL  ManEst      1       0          D1B       62.13        942.50    305.00       42.57            1
  3      9 GPME-SL  ManEst      1       0          D2B       59.80        843.44    260.00       40.25            1
  3     10 GPME-SL  ManEst      1       0          D1A       57.43        905.53    305.00       37.87            1
  3     11 GPME-SL  ManEst      1       0          D2B       52.92        798.58    225.00       33.36            1
  3     12 GPME-SL  ManEst      1       0          D1A       53.36        678.68    235.00       33.80            1
  3     13 GPME-SL  ManEst      1       0          D1A       54.38        780.65    205.00       34.82            1
  3     14 GPME-SL  ManEst      1       0          D1A       56.71        869.63    255.00       37.15            1
  3     15 GPME-SL  ManEst      1       0          D2A       57.28        859.52    255.00       37.72            1
  3     16 GPME-SL  ManEst      1       0          D1B       52.83        832.63    220.00       33.28            1
  3     17 GPME-SL  ManEst      1       0          D2A       53.93        823.53    220.00       34.37            1
  3     18 GPME-SL  ManEst      1       0          D2A       56.56        889.59    230.00       37.00            1
  3     19 GPME-SL  ManEst      1       0          D2A       52.66        807.42    260.00       33.11            1
  3     20 GPME-SL  ManEst      1       0          D1B       58.62        827.59    215.00       39.06            1
  3     21 GPME-SL  ManEst      1       0          D1A       57.89        802.59    235.00       38.34            1
  3     22 GPME-SL  ManEst      1       0          D1B       57.48        775.64    235.00       37.92            1
  3     23 GPME-SL  ManEst      1       0          D1A       56.40        733.72    240.00       36.84            1
  3     24 GPME-SL  ManEst      1       0          D2B       58.01        722.67    230.00       38.45            1
  3     25 GPME-SL  ManEst      1       0          D2A       58.80        832.60    270.00       39.24            1
  3     26 GPME-SL  ManEst      1       0          D2B       59.86        776.66    250.00       40.31            1
  3     27 GPME-SL  ManEst      1       0          D1B       60.52        796.36    315.00       40.97            1
  3     28 GPME-SL  ManEst      1       0          D2A       52.07        806.65    250.00       32.51            1
  3     29 GPME-SL  ManEst      1       0          D2B       60.38        788.59    210.00       40.82            1
  3     30 GPME-SL  ManEst      1       0          D1B       56.78        717.65    225.00       37.22            1
  3     31 GPME-SL  ManEst      1       0          D1B       66.76        699.56    215.00       47.20            1
  3     32 GPME-SL  ManEst      1       0          D1A       60.37        849.60    225.00       40.81            1
  3     33 GPME-SL  ManEst      2       0          D1B       67.35        808.64    285.00       47.29            1
  3     34 GPME-SL  ManEst      2       0          D2A       65.52        844.58    300.00       45.45            1
