Sub  Trial   Group    Task  Block  Errors      Stimuli      ManEst        RT
  3     66  MPG-SL  ManEst      3      50          D1A       62.94    375.00
  3     67  MPG-SL  ManEst      3      50          D1A       62.61    250.00
  3     68  MPG-SL  ManEst      3      50          D2B       61.88    270.00
  3     69  MPG-SL  ManEst      3      50          D2B       60.81    225.00
  3     70  MPG-SL  ManEst      3      50          D1A       59.54    300.00
  3     71  MPG-SL  ManEst      3      50          D2A       61.44    285.00
  3     72  MPG-SL  ManEst      3      50          D2A       67.76    290.00
  3     73  MPG-SL  ManEst      3      50          D1B       61.90    335.00
  3     74  MPG-SL  ManEst      3      50          D2A       62.63    320.00
  3     75  MPG-SL  ManEst      3      50          D2B       61.68    275.00
  3     76  MPG-SL  ManEst      3      50          D2A       63.33    230.00
  3     77  MPG-SL  ManEst      3      50          D2B       64.50    340.00
  3     78  MPG-SL  ManEst      3      50          D1A       66.08    340.00
  3     79  MPG-SL  ManEst      3      50          D1A       67.76    235.00
  3     80  MPG-SL  ManEst      3      50          D2B       64.53    315.00
  3     81  MPG-SL  ManEst      3      50          D2A       64.92    265.00
  3     82  MPG-SL  ManEst      3      50          D2A       63.72    260.00
  3     83  MPG-SL  ManEst      3      50          D1B       64.22    380.00
  3     84  MPG-SL  ManEst      3      50          D2B       64.91    260.00
  3     85  MPG-SL  ManEst      3      50          D2B       61.62    335.00
  3     86  MPG-SL  ManEst      3      50          D1B       64.87    250.00
  3     87  MPG-SL  ManEst      3      50          D1A       63.86    300.00
  3     88  MPG-SL  ManEst      3      50          D1B       60.96    235.00
  3     89  MPG-SL  ManEst      3      50          D2A       62.32    390.00
  3     90  MPG-SL  ManEst      3      50          D2B       63.86    255.00
  3     91  MPG-SL  ManEst      3      50          D1B       63.88    250.00
  3     92  MPG-SL  ManEst      3      50          D1B       64.68    415.00
  3     93  MPG-SL  ManEst      3      50          D1A       64.74    300.00
  3     94  MPG-SL  ManEst      3      50          D1A       65.01    225.00
  3     95  MPG-SL  ManEst      3      50          D2A       64.22    315.00
  3     96  MPG-SL  ManEst      3      50          D1B       62.59    280.00
  3     97  MPG-SL  ManEst      4      50          D2A       62.24    425.00
  3     98  MPG-SL  ManEst      4      50          D2B       64.04    295.00
  3     99  MPG-SL  ManEst      4      50          D2B       64.46    230.00
  3    100  MPG-SL  ManEst      4      51          D2A       62.93    200.00
  3    101  MPG-SL  ManEst      4      51          D1B       58.42    225.00
  3    102  MPG-SL  ManEst      4      51          D2B       61.33    445.00
  3    103  MPG-SL  ManEst      4      51          D2A       66.44    460.00
  3    104  MPG-SL  ManEst      4      51          D2B       65.47    260.00
  3    105  MPG-SL  ManEst      4      51          D2A       64.36    235.00
  3    106  MPG-SL  ManEst      4      51          D1A       64.52    375.00
  3    107  MPG-SL  ManEst      4      51          D1A       64.21    405.00
  3    108  MPG-SL  ManEst      4      51          D2A       62.03    260.00
  3    109  MPG-SL  ManEst      4      51          D1B       63.91    330.00
  3    110  MPG-SL  ManEst      4      51          D1B       63.67    290.00
  3    111  MPG-SL  ManEst      4      51          D1B       64.48    280.00
  3    112  MPG-SL  ManEst      4      51          D2B       64.93    265.00
  3    113  MPG-SL  ManEst      4      51          D2A       60.46    365.00
  3    114  MPG-SL  ManEst      4      51          D1B       72.03    220.00
  3    115  MPG-SL  ManEst      4      51          D1A       62.55    180.00
  3    116  MPG-SL  ManEst      4      51          D2A       62.94    390.00
  3    117  MPG-SL  ManEst      4      51          D1B       63.98    405.00
  3    118  MPG-SL  ManEst      4      51          D2A       64.90    260.00
  3    119  MPG-SL  ManEst      4      51          D1A       64.43    215.00
  3    120  MPG-SL  ManEst      4      51          D2B       63.39    250.00
  3    121  MPG-SL  ManEst      4      51          D1A       63.01    195.00
  3    122  MPG-SL  ManEst      4      51          D2B       62.37    265.00
  3    123  MPG-SL  ManEst      4      52          D1A       61.37    335.00
  3    124  MPG-SL  ManEst      4      52          D1A       66.20    385.00
  3    125  MPG-SL  ManEst      4      52          D2B       64.28    300.00
  3    126  MPG-SL  ManEst      4      52          D1B       63.84    250.00
  3    127  MPG-SL  ManEst      4      52          D1A       62.20    290.00
  3    128  MPG-SL  ManEst      4      52          D1B       61.77    220.00
  4      1  MGP-SL  ManEst      1       0          D2B       69.57    535.00
  4      2  MGP-SL  ManEst      1       0          D2A       69.93    525.00
  4      3  MGP-SL  ManEst      1       0          D1B       73.02    490.00
  4      4  MGP-SL  ManEst      1       0          D1B       70.64    520.00
  4      5  MGP-SL  ManEst      1       0          D2B       72.39    480.00
  4      6  MGP-SL  ManEst      1       0          D2A       74.00    550.00
  4      7  MGP-SL  ManEst      1       0          D2A       73.94    495.00
  4      8  MGP-SL  ManEst      1       0          D2A       71.92    475.00
  4      9  MGP-SL  ManEst      1       0          D1A       68.46    455.00
  4     10  MGP-SL  ManEst      1       0          D2B       68.90    455.00
  4     11  MGP-SL  ManEst      1       0          D1B       72.00    570.00
  4     12  MGP-SL  ManEst      1       0          D2A       77.02    490.00
  4     13  MGP-SL  ManEst      1       0          D2B       69.25    330.00
  4     14  MGP-SL  ManEst      1       0          D1B       69.43    460.00
  4     15  MGP-SL  ManEst      1       0          D2B       67.61    440.00
  4     16  MGP-SL  ManEst      1       0          D1A       65.63    425.00
  4     17  MGP-SL  ManEst      1       0          D2A       67.33    435.00
  4     18  MGP-SL  ManEst      1       1          D1B       65.64    515.00
  4     19  MGP-SL  ManEst      1       1          D1A       66.76    430.00
  4     20  MGP-SL  ManEst      1       1          D1B       68.66    480.00
  4     21  MGP-SL  ManEst      1       1          D2B       66.24    380.00
  4     22  MGP-SL  ManEst      1       1          D2B       65.15    425.00
  4     23  MGP-SL  ManEst      1       1          D1A       68.70    325.00
  4     24  MGP-SL  ManEst      1       1          D1A       68.00    365.00
  4     25  MGP-SL  ManEst      1       1          D2B       68.52    465.00
  4     26  MGP-SL  ManEst      1       1          D2A       67.78    590.00
  4     27  MGP-SL  ManEst      1       1          D1A       69.11    550.00
  4     28  MGP-SL  ManEst      1       1          D1A       65.04    410.00
  4     29  MGP-SL  ManEst      1       1          D1A       71.68    515.00
  4     30  MGP-SL  ManEst      1       1          D1B       66.54    675.00
  4     31  MGP-SL  ManEst      1       1          D2A       69.53    385.00
  4     32  MGP-SL  ManEst      1       1          D1B       70.43    645.00
  4     33  MGP-SL  ManEst      2       1          D1A       64.45    710.00
  4     34  MGP-SL  ManEst      2       1          D1A       67.74    405.00
  4     35  MGP-SL  ManEst      2       1          D1A       70.45    445.00
