Sub  Trial   Group    Task  Block  Errors      Stimuli    MaxAp        RT  G12MaxAp
  3     97  MPG-SL   Grasp      4       5          D2B    81.24    270.00     63.63
  3     98  MPG-SL   Grasp      4       5          D2B    79.59    325.00     61.98
  3     99  MPG-SL   Grasp      4       5          D1A    76.52    185.00     58.91
  3    100  MPG-SL   Grasp      4       5          D2A    75.08    205.00     57.47
  3    101  MPG-SL   Grasp      4       5          D2B    76.86    205.00     59.25
  3    102  MPG-SL   Grasp      4       5          D2A    73.50    200.00     55.89
  3    103  MPG-SL   Grasp      4       5          D1A    77.96    205.00     60.34
  3    104  MPG-SL   Grasp      4       5          D1A    74.82    205.00     57.21
  3    105  MPG-SL   Grasp      4       5          D2B    76.03    195.00     58.41
  3    106  MPG-SL   Grasp      4       5          D1B    78.51    185.00     60.90
  3    107  MPG-SL   Grasp      4       5          D2A    80.48    210.00     62.87
  3    108  MPG-SL   Grasp      4       5          D2B    69.53    155.00     51.92
  3    109  MPG-SL   Grasp      4       5          D1A    71.71    195.00     54.10
  3    110  MPG-SL   Grasp      4       5          D2A    69.02    250.00     51.41
  3    111  MPG-SL   Grasp      4       5          D1B    69.46    190.00     51.84
  3    112  MPG-SL   Grasp      4       5          D2A    73.49    335.00     55.88
  3    113  MPG-SL   Grasp      4       5          D1A    71.75    310.00     54.14
  3    114  MPG-SL   Grasp      4       5          D2A    76.41    315.00     58.80
  3    115  MPG-SL   Grasp      4       5          D1B    74.38    325.00     56.77
  3    116  MPG-SL   Grasp      4       5          D2B    77.45    265.00     59.84
  3    117  MPG-SL   Grasp      4       5          D1B    81.44    215.00     63.83
