Sub  Trial   Group    Task  Block  Errors      Stimuli      ManEst    ManEstTime    G12FGAp        RT       MT    GGManEst    GGManEstTime      GGRT
  2     49  PMG-SL  ManEst      2       1          D1B       55.03       1096.45      59.03    390.00   706.45       56.75          990.00    385.00
  2     50  PMG-SL  ManEst      2       1          D2A       56.75       1084.34      60.19    310.00   774.34       57.21          710.00    290.00
  2     51  PMG-SL  ManEst      2       1          D1A       56.31       1109.35      58.67    255.00   854.35       54.03          675.00    235.00
  2     52  PMG-SL  ManEst      2       1          D2B       52.40       1162.07      60.00    325.00   837.07       52.50          790.00    325.00
  2     53  PMG-SL  ManEst      2       1          D2B       58.83       1328.92      59.71    470.00   858.92       59.85          995.00    460.00
  2     54  PMG-SL  ManEst      2       1          D1A       57.40       1183.43      58.68    490.00   693.43       59.73          855.00    490.00
  2     55  PMG-SL  ManEst      2       1          D2A       56.67        969.51      59.79    220.00   749.51       56.64          975.00    220.00
  2     56  PMG-SL  ManEst      2       1          D1A       56.78       1188.12      59.26    495.00   693.12       56.68          960.00    485.00
  2     57  PMG-SL  ManEst      2       1          D1B       60.74        916.86      59.46    240.00   676.86       63.58          730.00    235.00
  2     58  PMG-SL  ManEst      2       1          D2A       57.83       1099.22      61.38    285.00   814.22       57.50          765.00    280.00
  2     59  PMG-SL  ManEst      2       1          D2B       56.15       1037.48      59.40    235.00   802.48       57.50          595.00    230.00
  2     60  PMG-SL  ManEst      2       1          D2A       56.00       1176.38      61.26    420.00   756.38       57.25         1070.00    400.00
  2     61  PMG-SL  ManEst      2       1          D2A       57.71       1173.31      59.81    325.00   848.31       57.50          780.00    315.00
  2     62  PMG-SL  ManEst      2       1          D2A       60.52       1110.43      61.03    360.00   750.43       60.85         1085.00    350.00
  2     63  PMG-SL  ManEst      2       1          D2A       57.88        998.50      60.50    305.00   693.50       56.47          675.00    290.00
  2     64  PMG-SL  ManEst      2       1          D2B       54.14        943.51      59.47    215.00   728.51       56.81          700.00    215.00
  2     65  PMG-SL  ManEst      3       1          D2A       52.89        979.25      57.49    290.00   689.25       51.63          615.00    290.00
  2     66  PMG-SL  ManEst      3       1          D1B       56.08       1022.45      57.88    265.00   757.45       55.34          640.00    260.00
  2     67  PMG-SL  ManEst      3       1          D1A       56.50       1115.37      59.25    345.00   770.37       59.26          770.00    330.00
  2     68  PMG-SL  ManEst      3       1          D1B       53.11       1130.39      58.86    315.00   815.39       55.76          920.00    320.00
  2     69  PMG-SL  ManEst      3       1          D2A       56.77       1004.43      58.52    260.00   744.43       57.31          695.00    265.00
  2     70  PMG-SL  ManEst      3       1          D1B       56.36       1027.51      59.52    250.00   777.51       54.79          750.00    245.00
  2     71  PMG-SL  ManEst      3       1          D2A       61.80       1041.32      59.89    270.00   771.32       63.54          870.00    250.00
  2     72  PMG-SL  ManEst      3       1          D1A       55.40       1043.38      59.55    290.00   753.38       54.66          730.00    285.00
  2     73  PMG-SL  ManEst      3       1          D2B       55.45        995.40      59.46    235.00   760.40       56.27          950.00    245.00
  2     74  PMG-SL  ManEst      3       1          D2A       58.61       1044.30      59.70    340.00   704.30       59.55          975.00    325.00
  2     75  PMG-SL  ManEst      3       1          D2A       54.73       1042.45      59.30    285.00   757.45       56.01          805.00    270.00
  2     76  PMG-SL  ManEst      3       1          D2A       56.17       1073.46      59.97    280.00   793.46       57.85          750.00    290.00
  2     77  PMG-SL  ManEst      3       1          D2B       58.14        982.63      60.39    280.00   702.63       57.13          615.00    275.00
  2     78  PMG-SL  ManEst      3       1          D2A       56.66       1076.47      59.52    250.00   826.47       56.82          775.00    245.00
  2     79  PMG-SL  ManEst      3       1          D1B       52.93       1013.42      58.56    295.00   718.42       51.20          605.00    285.00
  2     80  PMG-SL  ManEst      3       1          D1B       55.62       1049.16      58.71    265.00   784.16       56.62          680.00    265.00
  2     81  PMG-SL  ManEst      3       1          D2B       52.89        862.15      58.92    200.00   662.15       53.80          575.00    200.00
  2     82  PMG-SL  ManEst      3       1          D1B       52.21        885.86      58.28    220.00   665.86       52.97          570.00    220.00
  2     83  PMG-SL  ManEst      3       1          D2B       54.62        986.54      58.55    285.00   701.54       55.18          615.00    280.00
  2     84  PMG-SL  ManEst      3       1          D1A       54.08       1063.53      57.57    295.00   768.53       55.11          895.00    300.00
  2     85  PMG-SL  ManEst      3       1          D1A       54.37       1115.37      59.59    365.00   750.37       52.99          770.00    365.00
  2     86  PMG-SL  ManEst      3       1          D1B       52.46       1029.44      58.86    255.00   774.44       57.32          535.00    250.00
  2     87  PMG-SL  ManEst      3       1          D1A       51.95       1013.40      58.59    265.00   748.40       51.99          715.00    260.00
  2     88  PMG-SL  ManEst      3       1          D2B       51.97        942.52      58.16    255.00   687.52       52.23          825.00    230.00
  2     89  PMG-SL  ManEst      3       1          D1B       50.27        943.50      59.30    230.00   713.50       51.83          625.00    215.00
  2     90  PMG-SL  ManEst      3       1          D1A       56.42        900.58      58.51    230.00   670.58       54.93          535.00    215.00
  2     91  PMG-SL  ManEst      3       1          D2B       52.26        941.51      58.86    265.00   676.51       53.48          855.00    245.00
  2     92  PMG-SL  ManEst      3       1          D1A       50.81       1095.77      59.17    310.00   785.77       52.29          890.00    290.00
  2     93  PMG-SL  ManEst      3       1          D2B       54.51        917.52      59.04    225.00   692.52       54.37          695.00    205.00
  2     94  PMG-SL  ManEst      3       1          D2A       51.92        929.47      59.55    250.00   679.47       49.93          685.00    245.00
  2     95  PMG-SL  ManEst      3       1          D1A       53.43        990.43      59.84    210.00   780.43       54.87          775.00    200.00
  2     96  PMG-SL  ManEst      3       1          D2B       55.37        955.54      59.44    305.00   650.54       54.14          590.00    285.00
  2     97  PMG-SL  ManEst      4       1          D2A       50.38       1010.51      59.72    300.00   710.51       50.51          865.00    305.00
  2     98  PMG-SL  ManEst      4       1          D1B       52.80        964.52      59.44    255.00   709.52       47.34          385.00    260.00
  2     99  PMG-SL  ManEst      4       1          D2A       57.53        978.48      60.50    255.00   723.48       57.24          730.00    245.00
  2    100  PMG-SL  ManEst      4       1          D1A       53.62       1058.38      57.82    235.00   823.38       53.64         1065.00    215.00
  2    101  PMG-SL  ManEst      4       1          D2B       55.86        858.60      58.06    155.00   703.60       57.19          655.00    140.00
  2    102  PMG-SL  ManEst      4       2          D2B       53.10       1036.56      59.39    260.00   776.56       55.00          805.00    250.00
  2    103  PMG-SL  ManEst      4       2          D1A       45.71        967.46      58.46    265.00   702.46       47.45          715.00    255.00
  2    104  PMG-SL  ManEst      4       2          D1A       51.58       1136.42      58.63    315.00   821.42       55.95          695.00    300.00
  2    105  PMG-SL  ManEst      4       2          D1B       56.98       1002.89      58.99    250.00   752.89       53.88          535.00    245.00
  2    106  PMG-SL  ManEst      4       2          D2B       56.91       1002.43      59.36    240.00   762.43       57.29          705.00    235.00
