Sub  Trial   Group    Task  Block  Errors      Stimuli    MaxAp     MaxApTime       G12FGAp        RT  TouchedAp  TouchedTime       GGRT
  2     33  PMG-SL   Grasp      2       0          D2B    67.95        970.00         58.72    385.00      67.95       970.00     385.00
  2     34  PMG-SL   Grasp      2       0          D2B    69.40        915.00         57.95    435.00      69.05       945.00     425.00
  2     35  PMG-SL   Grasp      2       0          D2A    63.46        865.00         58.89    320.00      63.46       865.00     315.00
  2     36  PMG-SL   Grasp      2       0          D1B    67.03        920.00         57.50    365.00      67.03       920.00     360.00
  2     37  PMG-SL   Grasp      2       0          D2A    68.79        840.00         58.39    245.00      68.78       845.00     250.00
  2     38  PMG-SL   Grasp      2       0          D2A    65.42        815.00         57.98    245.00      65.20       860.00     240.00
  2     39  PMG-SL   Grasp      2       0          D2B    65.44        720.00         58.04    150.00      65.29       760.00     140.00
  2     40  PMG-SL   Grasp      2       0          D1A    67.88        805.00         57.47    235.00      67.70       830.00     230.00
  2     41  PMG-SL   Grasp      2       0          D2B    64.92        720.00         57.94    165.00      64.91       745.00     150.00
  2     42  PMG-SL   Grasp      2       0          D2B    65.19        870.00         58.01    350.00      65.14       885.00     330.00
  2     43  PMG-SL   Grasp      2       0          D1B    70.37        715.00         57.65    210.00      70.17       745.00     185.00
  2     44  PMG-SL   Grasp      2       0          D1B    63.37        980.00         56.48    360.00      63.37       980.00     350.00
  2     45  PMG-SL   Grasp      2       0          D2A    65.34        965.00         58.53    315.00      65.05      1000.00     280.00
  2     46  PMG-SL   Grasp      2       0          D1B    64.26       1055.00         56.59    410.00      64.26      1055.00     395.00
  2     47  PMG-SL   Grasp      2       0          D1A    62.08        860.00         57.97    310.00      62.08       860.00     305.00
  2     48  PMG-SL   Grasp      2       0          D2B    63.84        840.00         58.00    230.00      63.84       840.00     225.00
  2     49  PMG-SL   Grasp      2       0          D2B    65.19        970.00         58.37    325.00      65.19       970.00     315.00
  2     50  PMG-SL   Grasp      2       0          D2A    67.91        930.00         58.27    305.00      67.88       940.00     300.00
  2     51  PMG-SL   Grasp      2       0          D1B    63.82        855.00         57.29    295.00      63.69       960.00     285.00
  2     52  PMG-SL   Grasp      2       0          D1A    68.40        915.00         57.66    250.00      68.40       915.00     260.00
  2     53  PMG-SL   Grasp      2       0          D2A    69.42       1020.00         58.43    425.00      69.42      1020.00     415.00
  2     54  PMG-SL   Grasp      2       0          D1B    67.78        965.00         57.41    300.00      67.78       965.00     290.00
  2     55  PMG-SL   Grasp      2       0          D1A    66.75        975.00         57.61    370.00      66.71       995.00     365.00
  2     56  PMG-SL   Grasp      2       0          D1B    69.20        795.00         57.43    240.00      69.20       795.00     225.00
  2     57  PMG-SL   Grasp      2       0          D1A    64.76        820.00         56.93    275.00      64.54       900.00     285.00
  2     58  PMG-SL   Grasp      2       0          D1A    66.05        915.00         57.36    285.00      66.05       915.00     275.00
  2     59  PMG-SL   Grasp      2       0          D1A    71.82        655.00         57.24    115.00      70.38       740.00     100.00
  2     60  PMG-SL   Grasp      2       0          D2A    69.59        740.00         57.62    345.00      69.52       820.00     335.00
  2     61  PMG-SL   Grasp      2       0          D1B    71.48        700.00         56.47    285.00      70.84       780.00     275.00
  2     62  PMG-SL   Grasp      2       0          D2A    66.25        650.00         56.16    230.00      65.01       750.00     225.00
  2     63  PMG-SL   Grasp      2       0          D1A    70.08        805.00         57.64    275.00      69.13       870.00     260.00
  2     64  PMG-SL   Grasp      2       0          D2B    69.14        875.00         57.84    275.00      69.13       880.00     270.00
  2     65  PMG-SL   Grasp      3       0          D1A    70.49        790.00         57.06    280.00      68.92       870.00     275.00
  2     66  PMG-SL   Grasp      3       0          D2A    69.52        845.00         58.90    305.00      68.99       890.00     300.00
  2     67  PMG-SL   Grasp      3       0          D1B    67.21        800.00         57.24    260.00      66.78       850.00     250.00
  2     68  PMG-SL   Grasp      3       0          D1B    64.77        830.00         57.48    200.00      64.29       900.00     190.00
  2     69  PMG-SL   Grasp      3       0          D2A    67.62        770.00         57.53    190.00      67.62       770.00     195.00
  2     70  PMG-SL   Grasp      3       0          D2A    72.65        700.00         57.78    245.00      72.15       795.00     235.00
  2     71  PMG-SL   Grasp      3       0          D2A    66.72        970.00         57.78    300.00      66.72       970.00     295.00
  2     72  PMG-SL   Grasp      3       0          D1B    67.59       1035.00         57.35    390.00      67.31      1065.00     385.00
  2     73  PMG-SL   Grasp      3       0          D2A    68.21        885.00         58.22    340.00      68.18       895.00     315.00
  2     74  PMG-SL   Grasp      3       0          D1B    68.52       1020.00         57.89    355.00      68.52      1020.00     340.00
  2     75  PMG-SL   Grasp      3       0          D1A    67.49       1210.00         57.56    490.00      67.49      1210.00     465.00
  2     76  PMG-SL   Grasp      3       0          D2B    68.89        820.00         57.31    295.00      68.65       865.00     275.00
  2     77  PMG-SL   Grasp      3       0          D1A    74.62        790.00         56.60    320.00      73.36       890.00     315.00
  2     78  PMG-SL   Grasp      3       0          D1A    71.97        900.00         57.18    395.00      71.59       940.00     380.00
  2     79  PMG-SL   Grasp      3       0          D1B    70.61        960.00         57.68    315.00      69.58      1000.00     315.00
  2     80  PMG-SL   Grasp      3       0          D1B    68.05        735.00         57.75    285.00      67.23       930.00     270.00
  2     81  PMG-SL   Grasp      3       0          D2B    62.00       1200.00         57.67    400.00      62.00      1200.00     395.00
  2     82  PMG-SL   Grasp      3       0          D2B    68.87        940.00         57.16    255.00      68.87       940.00     245.00
  2     83  PMG-SL   Grasp      3       0          D2B    69.94        985.00         58.24    345.00      69.94      1010.00     340.00
  2     84  PMG-SL   Grasp      3       0          D1A    68.65        960.00         56.83    325.00      68.65       960.00     300.00
  2     85  PMG-SL   Grasp      3       0          D1A    69.46        870.00         57.88    290.00      69.46       870.00     275.00
  2     86  PMG-SL   Grasp      3       0          D2A    71.05        810.00         58.02    295.00      70.96       905.00     280.00
  2     87  PMG-SL   Grasp      3       0          D2B    70.53        915.00         57.75    275.00      70.39       945.00     265.00
  2     88  PMG-SL   Grasp      3       0          D2B    72.94        845.00         57.52    290.00      72.81       875.00     260.00
  2     89  PMG-SL   Grasp      3       0          D2B    69.11        870.00         57.96    295.00      69.11       870.00     270.00
  2     90  PMG-SL   Grasp      3       0          D1B    69.39        845.00         57.63    305.00      68.71       905.00     280.00
  2     91  PMG-SL   Grasp      3       0          D2A    69.53        960.00         57.58    400.00      69.48       975.00     385.00
  2     92  PMG-SL   Grasp      3       0          D2B    67.90        905.00         58.04    340.00      67.21       965.00     330.00
  2     93  PMG-SL   Grasp      3       0          D2A    66.18        835.00         58.21    310.00      65.62       975.00     300.00
  2     94  PMG-SL   Grasp      3       0          D1B    70.05       1015.00         57.58    430.00      69.82      1060.00     415.00
  2     95  PMG-SL   Grasp      3       0          D1A    63.77        960.00         58.09    360.00      63.50      1040.00     355.00
  2     96  PMG-SL   Grasp      3       0          D1A    68.07        875.00         57.17    260.00      68.04       930.00     240.00
  2     97  PMG-SL   Grasp      4       0          D1B    72.27        870.00         58.36    380.00      71.43       940.00     385.00
  2     98  PMG-SL   Grasp      4       0          D1A    67.90        795.00         56.92    260.00      67.90       795.00     235.00
  2     99  PMG-SL   Grasp      4       0          D1B    66.59        870.00         57.29    300.00      65.78       910.00     290.00
  2    100  PMG-SL   Grasp      4       0          D2A    70.19        880.00         57.05    375.00      70.09       895.00     360.00
  2    101  PMG-SL   Grasp      4       0          D1A    59.63        900.00         55.15    345.00      59.63       900.00     325.00
  2    102  PMG-SL   Grasp      4       0          D2A    65.94        985.00         57.00    290.00      65.94       985.00     285.00
  2    103  PMG-SL   Grasp      4       0          D2B    66.08        985.00         54.75    380.00      66.08       985.00     365.00
  2    104  PMG-SL   Grasp      4       0          D2A    67.29        835.00         56.24    265.00      66.80       870.00     250.00
  2    105  PMG-SL   Grasp      4       0          D2B    65.91        895.00         55.84    265.00      65.85       920.00     250.00
  2    106  PMG-SL   Grasp      4       0          D2A    66.02        930.00         57.29    295.00      65.81       990.00     285.00
  2    107  PMG-SL   Grasp      4       0          D1A    63.56        920.00         56.53    330.00      63.56       920.00     300.00
  2    108  PMG-SL   Grasp      4       0          D1A    69.03        910.00         57.13    375.00      69.02       950.00     365.00
  2    109  PMG-SL   Grasp      4       0          D2A    69.17        875.00         57.71    285.00      69.17       875.00     265.00
  2    110  PMG-SL   Grasp      4       0          D2B    71.09        875.00         58.76    315.00      70.89       905.00     285.00
  2    111  PMG-SL   Grasp      4       0          D1B    68.68        790.00         56.52    325.00      67.16       905.00     320.00
