Sub  Trial   Group    Task  Block  Errors      Stimuli    MaxAp        RT
  3     78  MPG-SL   Grasp      3       5          D1A    75.17    265.00
  3     79  MPG-SL   Grasp      3       5          D2A    72.53    320.00
  3     80  MPG-SL   Grasp      3       5          D2A    84.29    265.00
  3     81  MPG-SL   Grasp      3       5          D1A    83.07    460.00
  3     82  MPG-SL   Grasp      3       5          D1A    77.64    420.00
  3     83  MPG-SL   Grasp      3       5          D2B    86.56    340.00
  3     84  MPG-SL   Grasp      3       5          D1B    80.21    270.00
  3     85  MPG-SL   Grasp      3       5          D1B    74.88    260.00
  3     86  MPG-SL   Grasp      3       5          D1B    82.14    250.00
  3     87  MPG-SL   Grasp      3       5          D2A    85.85    280.00
  3     88  MPG-SL   Grasp      3       5          D1A    73.14    265.00
  3     89  MPG-SL   Grasp      3       5          D2B    79.78    245.00
  3     90  MPG-SL   Grasp      3       5          D1B    79.90    320.00
  3     91  MPG-SL   Grasp      3       5          D1A    74.11    215.00
  3     92  MPG-SL   Grasp      3       5          D1A    72.25    220.00
  3     93  MPG-SL   Grasp      3       5          D2A    74.22    245.00
  3     94  MPG-SL   Grasp      3       5          D2A    73.75    200.00
  3     95  MPG-SL   Grasp      3       5          D1A    75.51    290.00
  3     96  MPG-SL   Grasp      3       5          D2B    74.90    220.00
  3     97  MPG-SL   Grasp      4       5          D2B    81.24    270.00
  3     98  MPG-SL   Grasp      4       5          D2B    79.59    325.00
  3     99  MPG-SL   Grasp      4       5          D1A    74.17    185.00
  3    100  MPG-SL   Grasp      4       5          D2A    74.98    205.00
  3    101  MPG-SL   Grasp      4       5          D2B    76.86    205.00
  3    102  MPG-SL   Grasp      4       5          D2A    73.50    200.00
  3    103  MPG-SL   Grasp      4       5          D1A    77.96    205.00
  3    104  MPG-SL   Grasp      4       5          D1A    74.13    205.00
  3    105  MPG-SL   Grasp      4       5          D2B    76.03    195.00
  3    106  MPG-SL   Grasp      4       5          D1B    78.51    185.00
  3    107  MPG-SL   Grasp      4       5          D2A    80.48    210.00
  3    108  MPG-SL   Grasp      4       5          D2B    69.10    155.00
  3    109  MPG-SL   Grasp      4       5          D1A    71.71    195.00
  3    110  MPG-SL   Grasp      4       5          D2A    69.02    250.00
  3    111  MPG-SL   Grasp      4       5          D1B    69.46    190.00
  3    112  MPG-SL   Grasp      4       5          D2A    73.49    335.00
  3    113  MPG-SL   Grasp      4       5          D1A    71.75    310.00
  3    114  MPG-SL   Grasp      4       5          D2A    76.41    315.00
  3    115  MPG-SL   Grasp      4       5          D1B    74.38    325.00
  3    116  MPG-SL   Grasp      4       5          D2B    77.45    265.00
  3    117  MPG-SL   Grasp      4       5          D1B    81.44    215.00
  3    118  MPG-SL   Grasp      4       5          D1A    76.97    245.00
  3    119  MPG-SL   Grasp      4       5          D1A    79.66    265.00
  3    120  MPG-SL   Grasp      4       5          D1B    80.77    295.00
  3    121  MPG-SL   Grasp      4       5          D1B    86.03    280.00
  3    122  MPG-SL   Grasp      4       5          D2A    82.97    350.00
  3    123  MPG-SL   Grasp      4       5          D2B    81.32    220.00
  3    124  MPG-SL   Grasp      4       5          D1A    80.11    225.00
  3    125  MPG-SL   Grasp      4       5          D1B    80.06    235.00
  3    126  MPG-SL   Grasp      4       5          D2B    88.87    330.00
  3    127  MPG-SL   Grasp      4       5          D1B    80.78    260.00
  3    128  MPG-SL   Grasp      4       5          D2A    72.00    210.00
  4      1  MGP-SL   Grasp      1       0          D1B    76.85    420.00
  4      2  MGP-SL   Grasp      1       0          D2B    75.62    235.00
  4      3  MGP-SL   Grasp      1       0          D2B    77.83    255.00
  4      4  MGP-SL   Grasp      1       0          D1A    72.49    280.00
  4      5  MGP-SL   Grasp      1       0          D2A    75.00    180.00
  4      6  MGP-SL   Grasp      1       0          D1A    78.27    250.00
  4      7  MGP-SL   Grasp      1       0          D1A    75.83    315.00
  4      8  MGP-SL   Grasp      1       0          D2B    77.14    265.00
  4      9  MGP-SL   Grasp      1       0          D2B    76.15    195.00
  4     10  MGP-SL   Grasp      1       0          D1B    79.81    265.00
  4     11  MGP-SL   Grasp      1       0          D2B    77.22    235.00
  4     12  MGP-SL   Grasp      1       0          D1A    78.82    295.00
  4     13  MGP-SL   Grasp      1       0          D2A    80.89    305.00
  4     14  MGP-SL   Grasp      1       0          D1B    78.55    305.00
  4     15  MGP-SL   Grasp      1       0          D2B    79.96    215.00
  4     16  MGP-SL   Grasp      1       0          D2A    76.21    230.00
  4     17  MGP-SL   Grasp      1       0          D1A    81.24    275.00
  4     18  MGP-SL   Grasp      1       0          D2A    77.84    265.00
  4     19  MGP-SL   Grasp      1       0          D1A    78.40    315.00
  4     20  MGP-SL   Grasp      1       0          D1B    79.83    415.00
  4     21  MGP-SL   Grasp      1       0          D1B    82.45    340.00
  4     22  MGP-SL   Grasp      1       0          D1B    76.56    265.00
  4     23  MGP-SL   Grasp      1       0          D2A    77.67    215.00
  4     24  MGP-SL   Grasp      1       0          D1A    79.11    390.00
  4     25  MGP-SL   Grasp      1       0          D2A    81.61    255.00
  4     26  MGP-SL   Grasp      1       0          D2B    80.62    340.00
  4     27  MGP-SL   Grasp      1       0          D1A    82.22    255.00
  4     28  MGP-SL   Grasp      1       0          D1B    81.19    375.00
  4     29  MGP-SL   Grasp      1       0          D2A    70.38    270.00
  4     30  MGP-SL   Grasp      1       0          D2A    86.32    340.00
